Date,Adj Close,Close,High,Low,Open,Volume
1980-12-12 00:00:00+00:00,0.098943226,0.128347993,0.128905997,0.128347993,0.128347993,469033600
1980-12-15 00:00:00+00:00,0.093781255,0.121652,0.122210003,0.121652,0.122210003,175884800
1980-12-16 00:00:00+00:00,0.086897917,0.112723,0.113280997,0.112723,0.113280997,105728000
1980-12-17 00:00:00+00:00,0.089048736,0.115512997,0.116071001,0.115512997,0.115512997,86441600
1980-12-18 00:00:00+00:00,0.091630481,0.118862003,0.119419999,0.118862003,0.118862003,73449600
1980-12-19 00:00:00+00:00,0.097222544,0.126115993,0.126673996,0.126115993,0.126115993,48630400
1980-12-22 00:00:00+00:00,0.101954326,0.132254004,0.132813007,0.132254004,0.132254004,37363200
1980-12-23 00:00:00+00:00,0.106256723,0.137834996,0.138393,0.137834996,0.137834996,46950400
1980-12-24 00:00:00+00:00,0.111848809,0.145089,0.145647004,0.145089,0.145089,48003200
1980-12-26 00:00:00+00:00,0.122173458,0.158482,0.159040004,0.158482,0.158482,55574400
1980-12-29 00:00:00+00:00,0.123894058,0.160714,0.161272004,0.160714,0.160714,93161600
1980-12-30 00:00:00+00:00,0.120882928,0.156808004,0.157365993,0.156808004,0.157365993,68880000
1980-12-31 00:00:00+00:00,0.117441691,0.152344003,0.152902007,0.152344003,0.152902007,35750400
1981-01-02 00:00:00+00:00,0.118732139,0.154018,0.155134007,0.154018,0.154018,21660800
1981-01-05 00:00:00+00:00,0.116151154,0.150670007,0.151227996,0.150670007,0.151227996,35728000
1981-01-06 00:00:00+00:00,0.11098849,0.143972993,0.144530997,0.143972993,0.144530997,45158400
1981-01-07 00:00:00+00:00,0.106256723,0.137834996,0.138393,0.137834996,0.138393,55686400
1981-01-08 00:00:00+00:00,0.104105949,0.135045007,0.135602996,0.135045007,0.135602996,39827200
1981-01-09 00:00:00+00:00,0.109698027,0.142298996,0.142857,0.142298996,0.142298996,21504000
1981-01-12 00:00:00+00:00,0.108837664,0.141183004,0.142298996,0.141183004,0.142298996,23699200
1981-01-13 00:00:00+00:00,0.104966253,0.136161,0.136719003,0.136161,0.136719003,23049600
1981-01-14 00:00:00+00:00,0.105396383,0.136719003,0.137277007,0.136719003,0.136719003,14291200
1981-01-15 00:00:00+00:00,0.107547224,0.139509007,0.140625,0.139509007,0.139509007,14067200
1981-01-16 00:00:00+00:00,0.106686912,0.138393,0.138951004,0.138393,0.138951004,13395200
1981-01-19 00:00:00+00:00,0.113139279,0.146762997,0.147321001,0.146762997,0.146762997,41574400
1981-01-20 00:00:00+00:00,0.109698027,0.142298996,0.142857,0.142298996,0.142857,30083200
